poi_id,osm_type,osm_id,name,name_clean,category,subcategory,zone,latitude,longitude,amenity,tourism,shop,cuisine,opening_hours,phone,website,source,source_url,extracted_at,raw_tags,is_direct_competitor,is_food_alternative,is_demand_point,is_supporting_facility
OSM-0033,node,1769543344,Rasane Seafood & Ikan Bakar,rasane seafood & ikan bakar,restaurant,amenity:restaurant,Depok/Mlati/Ngaglik Selatan,-7.7302118,110.3789859,restaurant,,,fish,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""cuisine"": ""fish"", ""name"": ""Rasane Seafood & Ikan Bakar""}",false,true,false,false
OSM-0034,node,1769543347,Mr. Crab's,mr. crab's,restaurant,amenity:restaurant,Depok/Ngaglik Selatan,-7.7344513,110.394133,restaurant,,,seafood,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""cuisine"": ""seafood"", ""name"": ""Mr. Crab's""}",false,true,false,false
OSM-0035,node,1769558717,Bakso Pak Supri,bakso pak supri,restaurant,amenity:restaurant,Depok,-7.7728708,110.3916278,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""amenity"": ""restaurant"", ""name"": ""Bakso Pak Supri""}",false,true,false,false
OSM-0036,node,1844897315,STMM MMTC,stmm mmtc,school,amenity:school,Depok/Mlati,-7.7511707,110.3618244,school,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""school"", ""name"": ""STMM MMTC""}",false,false,true,false
OSM-0037,node,1847521134,hartz chiken buffet,hartz chiken buffet,restaurant,amenity:restaurant,Depok/Mlati,-7.7616672,110.3615705,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""restaurant"", ""name"": ""hartz chiken buffet""}",false,true,false,false
OSM-0038,node,1847529931,restoran kelapa gading,restoran kelapa gading,restaurant,amenity:restaurant,Depok/Mlati,-7.7496428,110.3618375,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""restaurant"", ""name"": ""restoran kelapa gading""}",false,true,false,false
OSM-0039,node,1847957297,Indomaret,indomaret,retail,shop:convenience,Depok/Mlati/Ngaglik Selatan,-7.7325432,110.3629984,,,convenience,,,,https://www.klikindomaret.com,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""air_conditioning"": ""yes"", ""brand"": ""Indomaret"", ""brand:wikidata"": ""Q4262825"", ""brand:wikipedia"": ""id:Indomaret"", ""name"": ""Indomaret"", ""name:en"": ""Indomaret"", ""name:id"": ""Indomaret"", ""name:ja"": ""インドマレット"", ""operator"": ""PT. Indomarco Prismatama"", ""shop"": ""convenience"", ""toilets"": ""yes"", ""toilets:access"": ""permissive"", ""website"": ""https://www.klikindomaret.com""}",false,false,false,true
OSM-0040,node,1847960216,Cafe league,cafe league,cafe,amenity:cafe,Depok/Mlati/Ngaglik Selatan,-7.7342549,110.3628321,cafe,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""cafe"", ""name"": ""Cafe league""}",false,true,false,false
OSM-0041,node,1847967404,Alfamart,alfamart,retail,shop:convenience,Depok/Mlati/Ngaglik Selatan,-7.7395333,110.3626564,,,convenience,,,,https://alfamart.co.id,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""brand"": ""Alfamart"", ""brand:wikidata"": ""Q23745600"", ""name"": ""Alfamart"", ""operator"": ""PT Sumber Alfaria Trijaya,Tbk"", ""shop"": ""convenience"", ""toilets"": ""yes"", ""toilets:access"": ""permissive"", ""toilets:unisex"": ""yes"", ""website"": ""https://alfamart.co.id""}",false,false,false,true
OSM-0042,node,1847978909,Hotel Graha Buana,hotel graha buana,hotel,tourism:hotel,Depok/Mlati/Ngaglik Selatan,-7.7436528,110.3622581,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""name"": ""Hotel Graha Buana"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0043,node,1847980164,Soto Pak Mustofa,soto pak mustofa,restaurant,amenity:restaurant,Depok/Mlati/Ngaglik Selatan,-7.7441259,110.3622876,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""name"": ""Soto Pak Mustofa""}",false,true,false,false
OSM-0044,node,1847988256,Alfamart,alfamart,retail,shop:convenience,Depok/Mlati,-7.747459,110.362585,,,convenience,,,,https://alfamart.co.id,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""brand"": ""Alfamart"", ""brand:wikidata"": ""Q23745600"", ""name"": ""Alfamart"", ""operator"": ""PT Sumber Alfaria Trijaya,Tbk"", ""shop"": ""convenience"", ""toilets"": ""yes"", ""toilets:access"": ""permissive"", ""toilets:unisex"": ""yes"", ""website"": ""https://alfamart.co.id""}",false,false,false,true
OSM-0045,node,1847989065,RM Menara Kudus,rm menara kudus,restaurant,amenity:restaurant,Depok/Mlati,-7.7482705,110.3625878,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""restaurant"", ""name"": ""RM Menara Kudus""}",false,true,false,false
OSM-0046,node,1847989864,Bakmi Jombor,bakmi jombor,restaurant,amenity:restaurant,Depok/Mlati,-7.7484553,110.3625565,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""restaurant"", ""name"": ""Bakmi Jombor""}",false,true,false,false
OSM-0047,node,1847989869,bakmi Jombor,bakmi jombor,restaurant,amenity:restaurant,Depok/Mlati,-7.7481109,110.3625536,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""restaurant"", ""name"": ""bakmi Jombor""}",false,true,false,false
OSM-0048,node,1847997726,Hotel Melati,hotel melati,hotel,tourism:hotel,Depok/Mlati,-7.7502036,110.3625482,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""name"": ""Hotel Melati"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0049,node,1848000010,Sahid Rich Jogja Hotel,sahid rich jogja hotel,hotel,tourism:hotel,Depok/Mlati,-7.7524293,110.3611659,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""name"": ""Sahid Rich Jogja Hotel"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0050,node,1848014049,Nikita Home Furnishing,nikita home furnishing,retail,shop:supermarket,Depok/Mlati,-7.7544376,110.362296,,,supermarket,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""name"": ""Nikita Home Furnishing"", ""shop"": ""supermarket""}",false,false,false,true
OSM-0051,node,1848014339,Indomaret,indomaret,retail,shop:convenience,Depok/Mlati,-7.7550384,110.3621884,,,convenience,,,,https://www.klikindomaret.com,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""air_conditioning"": ""yes"", ""brand"": ""Indomaret"", ""brand:wikidata"": ""Q4262825"", ""brand:wikipedia"": ""id:Indomaret"", ""name"": ""Indomaret"", ""name:en"": ""Indomaret"", ""name:id"": ""Indomaret"", ""name:ja"": ""インドマレット"", ""operator"": ""PT. Indomarco Prismatama"", ""shop"": ""convenience"", ""toilets"": ""yes"", ""toilets:access"": ""permissive"", ""website"": ""https://www.klikindomaret.com""}",false,false,false,true
OSM-0052,node,1848014568,Alfamart,alfamart,retail,shop:convenience,Depok/Mlati,-7.7552723,110.3621776,,,convenience,,,,https://alfamart.co.id,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""brand"": ""Alfamart"", ""brand:wikidata"": ""Q23745600"", ""name"": ""Alfamart"", ""operator"": ""PT Sumber Alfaria Trijaya,Tbk"", ""shop"": ""convenience"", ""toilets"": ""yes"", ""toilets:access"": ""permissive"", ""toilets:unisex"": ""yes"", ""website"": ""https://alfamart.co.id""}",false,false,false,true
OSM-0053,node,1848015107,Circle K,circle k,retail,shop:convenience,Depok/Mlati,-7.7555402,110.3619364,,,convenience,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""air_conditioning"": ""yes"", ""brand"": ""Circle K"", ""brand:wikidata"": ""Q3268010"", ""brand:wikipedia"": ""id:Circle K"", ""currency:IDR"": ""yes"", ""name"": ""Circle K"", ""name:en"": ""Circle K"", ""name:ja"": ""サークルK"", ""owner"": ""PT. Circleka Indonesia Utama"", ""payment:cash"": ""yes"", ""shop"": ""convenience""}",false,false,false,true
OSM-0054,node,1848017150,LIQUID,liquid,cafe,amenity:cafe,Depok/Mlati,-7.7560164,110.3622366,cafe,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""cafe"", ""name"": ""LIQUID""}",false,true,false,false
OSM-0055,node,1987943599,,,fast_food,amenity:fast_food,Depok,-7.7982037,110.3812808,fast_food,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""amenity"": ""fast_food""}",false,true,false,false
OSM-0056,node,1987943600,,,cafe,amenity:cafe,Depok,-7.7979751,110.3815222,cafe,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""amenity"": ""cafe""}",false,true,false,false
OSM-0057,node,1988455488,Dyefa Computer,dyefa computer,retail,shop:convenience,Depok,-7.79491,110.3979795,,,convenience,,Mo-Sa 08:00-16:00,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""addr:city"": ""Yogyakarta"", ""addr:housenumber"": ""75"", ""addr:postcode"": ""55198"", ""addr:street"": ""Jalan Puntodewo"", ""email"": ""dyefacomp@yahoogroups.com"", ""name"": ""Dyefa Computer"", ""opening_hours"": ""Mo-Sa 08:00-16:00"", ""operator"": ""Dicky"", ""shop"": ""convenience""}",false,false,false,true
OSM-0058,node,1988467903,SD Perumnas,sd perumnas,school,amenity:school,Depok,-7.7567811,110.4072218,school,attraction,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""amenity"": ""school"", ""name"": ""SD Perumnas"", ""tourism"": ""attraction""}",false,false,true,false
OSM-0059,node,1988467904,Indomaret,indomaret,retail,shop:convenience,Depok,-7.7572273,110.4076736,,,convenience,,,,https://www.klikindomaret.com,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""air_conditioning"": ""yes"", ""brand"": ""Indomaret"", ""brand:wikidata"": ""Q4262825"", ""brand:wikipedia"": ""id:Indomaret"", ""name"": ""Indomaret"", ""name:en"": ""Indomaret"", ""name:id"": ""Indomaret"", ""name:ja"": ""インドマレット"", ""operator"": ""PT. Indomarco Prismatama"", ""shop"": ""convenience"", ""toilets"": ""yes"", ""toilets:access"": ""permissive"", ""website"": ""https://www.klikindomaret.com""}",false,false,false,true
OSM-0060,node,2024675832,Sheraton Mustika Yogyakarta Resort & Spa,sheraton mustika yogyakarta resort & spa,hotel,tourism:hotel,Depok,-7.7798783,110.4284082,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""addr:city"": ""Yogyakarta"", ""addr:postcode"": ""55282"", ""addr:street"": ""Jalan Laksda Adisucipto"", ""brand"": ""Sheraton"", ""brand:wikidata"": ""Q634831"", ""brand:wikipedia"": ""en:Sheraton Hotels and Resorts"", ""check_date"": ""2025-08-01"", ""name"": ""Sheraton Mustika Yogyakarta Resort & Spa"", ""rooms"": ""248"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0061,node,2037735936,Indomaret,indomaret,retail,shop:convenience,Depok,-7.7832431,110.4459151,,,convenience,,Mo-Su 07:00-22:00,,https://www.klikindomaret.com,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""air_conditioning"": ""yes"", ""branch"": ""Jogja - Solo KM 10,5"", ""brand"": ""Indomaret"", ""brand:wikidata"": ""Q4262825"", ""brand:wikipedia"": ""id:Indomaret"", ""changing_table"": ""no"", ""name"": ""Indomaret"", ""name:en"": ""Indomaret"", ""name:id"": ""Indomaret"", ""name:ja"": ""インドマレット"", ""opening_hours"": ""Mo-Su 07:00-22:00"", ""operator"": ""PT. Indomarco Prismatama"", ""shop"": ""convenience"", ""toilets"": ""yes"", ""toilets:access"": ""permissive"", ""toilets:wheelchair"": ""limited"", ""website"": ""https://www.klikindomaret.com"", ""wheelchair"": ""limited""}",false,false,false,true
OSM-0062,node,2037736007,"Soto Bathok ""Mbah Joyo""","soto bathok ""mbah joyo""",restaurant,amenity:restaurant,Depok,-7.7831728,110.4449559,restaurant,,,regional,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""amenity"": ""restaurant"", ""cuisine"": ""regional"", ""name"": ""Soto Bathok \""Mbah Joyo\""""}",false,true,false,false
OSM-0063,node,2037736373,Kalasan Inn,kalasan inn,guest_house,tourism:guest_house,Depok,-7.7833491,110.445516,,guest_house,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""name"": ""Kalasan Inn"", ""tourism"": ""guest_house""}",false,false,false,true
OSM-0064,node,2167655299,SD Negeri Perumnas III,sd negeri perumnas iii,school,amenity:school,Depok,-7.7553816,110.4111956,school,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""amenity"": ""school"", ""name"": ""SD Negeri Perumnas III""}",false,false,true,false
